imię i nazwisko,hyd_1e,kor_1e,nad_1e,nim_1e,par_1e,suma1,swi*_2e,dro_2e,zaj_2e,ark_2e,wca_2e,suma2,row*_3e,pos_3e,pra_3e,zyw_3e,klu_3e,nie_3e,par_3e,suma3
Jakub Kowalski,0.0,91.0,0.0,19.0,63.0,173.0,,,,,,,,,,,,,,
Jakub Kubacki,0.0,54.0,0.0,0.0,61.0,115.0,,,,,,,,,,,,,,
Jakub Nowak,0.0,31.0,0.0,10.0,100.0,141.0,,,,,,,,,,,,,,
Jakub Obuchowski,21.0,98.0,100.0,80.0,100.0,399.0,50.0,28.0,38.0,25.0,63.0,154.0,100.0,32.0,30.0,0.0,38.0,32.0,100.0,232.0
Jakub Pilachowski,0.0,46.0,0.0,10.0,44.0,100.0,,,,,,,,,,,,,,
Jakub Romanowski,0.0,5.0,0.0,10.0,66.0,81.0,,,,,,,,,,,,,,
Jakub Walendowski,0.0,4.0,0.0,100.0,100.0,204.0,,,,,,,,,,,,,,
Jakub Wegrecki,0.0,73.0,15.0,19.0,100.0,207.0,,,,,,,,,,,,,,
Jakub Wroblewski,0.0,95.0,0.0,91.0,100.0,286.0,,,,,,,,,,,,,,
Jakub Zadrozny,0.0,100.0,100.0,100.0,100.0,400.0,0.0,57.0,58.0,0.0,10.0,125.0,100.0,32.0,100.0,0.0,16.0,0.0,100.0,248.0
Jan Chomiak,21.0,70.0,0.0,100.0,100.0,291.0,,,,,,,,,,,,,,
Jan Horodecki,21.0,6.0,15.0,10.0,100.0,152.0,,,,,,,,,,,,,,
Jan Jurkowski,0.0,8.0,0.0,100.0,100.0,208.0,,,,,,,,,,,,,,
Jan Klinkosz,21.0,70.0,100.0,91.0,100.0,382.0,,,,,,,,,,,,,,
Jan Kowalczuk,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Jan Lebioda,21.0,70.0,100.0,10.0,44.0,245.0,100.0,57.0,0.0,25.0,100.0,182.0,100.0,47.0,100.0,0.0,61.0,20.0,100.0,328.0
Jan Mirkiewicz,0.0,97.0,0.0,100.0,100.0,297.0,50.0,57.0,30.0,25.0,10.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Olkowski,60.0,52.0,48.0,28.0,100.0,288.0,72.0,44.0,30.0,0.0,20.0,94.0,100.0,32.0,100.0,0.0,0.0,60.0,100.0,292.0
Jan Omeljaniuk,21.0,50.0,100.0,0.0,100.0,271.0,50.0,100.0,0.0,25.0,10.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Tabaszewski,0.0,84.0,0.0,100.0,100.0,284.0,100.0,100.0,86.0,0.0,10.0,196.0,100.0,100.0,100.0,100.0,27.0,20.0,100.0,447.0
Jan Zak,0.0,7.0,0.0,9.0,100.0,116.0,,,,,,,,,,,,,,
Jaromir Gorski,21.0,54.0,0.0,91.0,66.0,232.0,,,,,,,,,,,,,,
Jaroslaw Brojek,0.0,14.0,60.0,0.0,100.0,174.0,,,,,,,,,,,,,,
Jaroslaw Kwiecien,11.0,100.0,100.0,74.0,100.0,385.0,100.0,100.0,100.0,100.0,100.0,400.0,0.0,100.0,100.0,100.0,91.0,100.0,100.0,591.0
Jedrzej Kula,0.0,66.0,100.0,19.0,100.0,285.0,,,,,,,,,,,,,,
Jedrzej Olkowski,0.0,0.0,48.0,0.0,55.0,103.0,,,,,,,,,,,,,,
Joachim Kowalewski,0.0,0.0,0.0,100.0,22.0,122.0,,,,,,,,,,,,,,
Joanna Chololowicz,0.0,35.0,15.0,0.0,66.0,116.0,,,,,,,,,,,,,,
Jozef Mastalarz,0.0,0.0,15.0,10.0,66.0,91.0,,,,,,,,,,,,,,
Julia Bazinska,0.0,47.0,100.0,28.0,100.0,275.0,,,,,,,,,,,,,,
Julia Majkowska,0.0,70.0,0.0,91.0,100.0,261.0,50.0,28.0,62.0,0.0,10.0,100.0,0.0,0.0,100.0,0.0,5.0,0.0,100.0,205.0
Juliusz Pham,0.0,97.0,100.0,100.0,100.0,397.0,50.0,44.0,58.0,50.0,10.0,162.0,100.0,100.0,100.0,100.0,33.0,100.0,100.0,533.0
Justyna Dzierzek,0.0,70.0,0.0,0.0,0.0,70.0,,,,,,,,,,,,,,
Kacper Kielak,0.0,0.0,35.0,0.0,94.0,129.0,,,,,,,,,,,,,,
Kacper Kluk,0.0,97.0,100.0,100.0,66.0,363.0,50.0,0.0,86.0,7.0,10.0,103.0,100.0,54.0,100.0,100.0,11.0,0.0,92.0,357.0
Kacper Konecki,0.0,0.0,0.0,10.0,100.0,110.0,,,,,,,,,,,,,,
Kacper Walentynowicz,0.0,100.0,100.0,100.0,0.0,300.0,0.0,44.0,30.0,25.0,10.0,109.0,100.0,32.0,14.0,100.0,38.0,60.0,100.0,344.0
Kamil Bladoszewski,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Kamil Bujel,0.0,4.0,0.0,0.0,100.0,104.0,,,,,,,,,,,,,,
Kamil Cwintal,0.0,35.0,100.0,7.0,100.0,242.0,50.0,57.0,30.0,25.0,10.0,122.0,35.0,12.0,100.0,25.0,16.0,0.0,100.0,253.0
Kamil Kaznowski,70.0,96.0,100.0,71.0,81.0,418.0,,,,,,,,,,,,,,
Kamil Mankowski,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Kamil Mykituk,0.0,56.0,15.0,100.0,49.0,220.0,,,,,,,,,,,,,,
Kamil Piechowiak,70.0,91.0,84.0,10.0,100.0,355.0,50.0,28.0,30.0,25.0,10.0,93.0,100.0,32.0,0.0,100.0,10.0,0.0,100.0,242.0
Kamil Szubinski,0.0,100.0,0.0,75.0,22.0,197.0,,,,,,,,,,,,,,
Karol Smolak,21.0,51.0,15.0,10.0,100.0,197.0,,,,,,,,,,,,,,
Karol Waszczuk,21.0,100.0,100.0,91.0,100.0,412.0,0.0,57.0,28.0,0.0,20.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karolina Drabik,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Karolina Gabara,0.0,56.0,100.0,100.0,100.0,356.0,,,,,,,,,,,,,,
Kasper Sapala,0.0,70.0,100.0,10.0,100.0,280.0,,,,,,,,,,,,,,
Klaudia Osowska,0.0,6.0,15.0,10.0,100.0,131.0,,,,,,,,,,,,,,
Konrad Czaplinski,0.0,0.0,0.0,10.0,100.0,110.0,,,,,,,,,,,,,,
Konrad Staniszewski,60.0,100.0,15.0,100.0,100.0,375.0,50.0,57.0,0.0,37.0,10.0,104.0,35.0,0.0,100.0,25.0,43.0,20.0,100.0,288.0
Konrad Werblinski,0.0,4.0,15.0,10.0,100.0,129.0,,,,,,,,,,,,,,
Konstanty Kostrzewski,0.0,0.0,0.0,0.0,66.0,66.0,,,,,,,,,,,,,,
Konstanty Subbotko,0.0,50.0,100.0,0.0,100.0,250.0,0.0,28.0,0.0,0.0,70.0,98.0,100.0,0.0,100.0,0.0,5.0,0.0,100.0,205.0
Kornel Duleba,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Krystian Krakowski,0.0,25.0,100.0,0.0,100.0,225.0,,,,,,,,,,,,,,
Krystian Krol,0.0,92.0,0.0,100.0,100.0,292.0,0.0,28.0,30.0,25.0,30.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krzysztof Kaminski,0.0,4.0,100.0,10.0,96.0,210.0,,,,,,,,,,,,,,
Krzysztof Kruszynski,0.0,28.0,0.0,10.0,55.0,93.0,,,,,,,,,,,,,,
Krzysztof Malysa,21.0,100.0,15.0,100.0,100.0,336.0,50.0,100.0,30.0,25.0,50.0,205.0,100.0,19.0,0.0,75.0,10.0,10.0,100.0,214.0
Krzysztof Piesiewicz,60.0,100.0,100.0,0.0,100.0,360.0,50.0,28.0,72.0,0.0,10.0,110.0,100.0,32.0,15.0,100.0,0.0,0.0,100.0,247.0
Krzysztof Pioro,0.0,38.0,0.0,19.0,100.0,157.0,0.0,57.0,0.0,25.0,10.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krzysztof Potepa,0.0,84.0,0.0,0.0,100.0,184.0,50.0,28.0,38.0,100.0,10.0,176.0,30.0,12.0,67.0,100.0,0.0,0.0,100.0,279.0
Krzysztof Waliczek,0.0,4.0,0.0,10.0,66.0,80.0,,,,,,,,,,,,,,
Krzysztof Ziobro,100.0,0.0,100.0,0.0,100.0,300.0,54.0,57.0,30.0,25.0,10.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leopold Koziol,0.0,83.0,0.0,5.0,100.0,188.0,0.0,28.0,30.0,25.0,10.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leszek Soldan,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Lukasz Eckert,0.0,25.0,100.0,0.0,100.0,225.0,,,,,,,,,,,,,,
Lukasz Galas,0.0,0.0,15.0,10.0,66.0,91.0,,,,,,,,,,,,,,
Lukasz Grzesiek,0.0,0.0,0.0,0.0,67.0,67.0,,,,,,,,,,,,,,
Lukasz Janeczko,21.0,52.0,15.0,17.0,100.0,205.0,50.0,28.0,30.0,7.0,40.0,105.0,100.0,32.0,100.0,13.0,11.0,10.0,100.0,266.0
Lukasz Kawka,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Lukasz Kondraciuk,0.0,42.0,100.0,100.0,100.0,342.0,79.0,0.0,100.0,25.0,10.0,135.0,100.0,99.0,100.0,100.0,38.0,20.0,100.0,457.0
Lukasz Wroblewski,0.0,0.0,0.0,0.0,100.0,100.0,50.0,57.0,0.0,0.0,40.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukasz Wronski,0.0,50.0,0.0,0.0,66.0,116.0,,,,,,,,,,,,,,
Maciej Dragula,0.0,100.0,0.0,91.0,44.0,235.0,,,,,,,,,,,,,,
Maciej Grabowski,0.0,60.0,0.0,10.0,44.0,114.0,,,,,,,,,,,,,,
Maciej Kasprzyk,21.0,6.0,0.0,10.0,100.0,137.0,,,,,,,,,,,,,,
Maciej Korpalski,0.0,4.0,0.0,28.0,66.0,98.0,,,,,,,,,,,,,,
Maciej Leciewicz,0.0,50.0,0.0,0.0,94.0,144.0,,,,,,,,,,,,,,
Maciej Maruszczak,0.0,0.0,100.0,80.0,0.0,180.0,,,,,,,,,,,,,,
Maciej Nadolski,80.0,100.0,100.0,0.0,78.0,358.0,50.0,28.0,0.0,25.0,100.0,153.0,10.0,32.0,100.0,0.0,32.0,20.0,100.0,284.0
Maciej Nems,0.0,70.0,0.0,0.0,100.0,170.0,50.0,57.0,0.0,25.0,10.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maciej Sypetkowski,70.0,70.0,100.0,50.0,100.0,390.0,50.0,57.0,58.0,50.0,10.0,175.0,40.0,75.0,100.0,100.0,38.0,100.0,100.0,513.0
Maciej Walczak,21.0,8.0,15.0,19.0,66.0,129.0,,,,,,,,,,,,,,
Maciej Walkowiak,0.0,0.0,0.0,5.0,66.0,71.0,,,,,,,,,,,,,,
Maciej Winkiewicz,0.0,0.0,0.0,91.0,100.0,191.0,,,,,,,,,,,,,,
Maciej Witkowski,0.0,0.0,0.0,0.0,94.0,94.0,,,,,,,,,,,,,,
Maksymilian Marzec,0.0,0.0,0.0,0.0,72.0,72.0,,,,,,,,,,,,,,
Marcin Abramowicz,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Marcin Korona,0.0,4.0,0.0,10.0,94.0,108.0,,,,,,,,,,,,,,
Marcin Massalski,0.0,70.0,100.0,53.0,0.0,223.0,,,,,,,,,,,,,,
Marcin Rogala,0.0,66.0,0.0,0.0,44.0,110.0,,,,,,,,,,,,,,
Marcin Serwin,0.0,82.0,0.0,0.0,94.0,176.0,50.0,28.0,20.0,31.0,10.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcin Wierzbicki,0.0,25.0,0.0,91.0,100.0,216.0,,,,,,,,,,,,,,
Marek Iwaniuk,0.0,99.0,0.0,91.0,78.0,268.0,,,,,,,,,,,,,,
Marek Skiba,0.0,4.0,15.0,5.0,66.0,90.0,50.0,80.0,0.0,0.0,10.0,90.0,100.0,12.0,30.0,100.0,27.0,10.0,27.0,206.0
Marek Smolarczyk,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Marek Zochowski,0.0,100.0,100.0,100.0,100.0,400.0,50.0,16.0,100.0,37.0,10.0,163.0,100.0,32.0,100.0,100.0,22.0,20.0,100.0,374.0
Mariusz Trela,100.0,98.0,100.0,91.0,100.0,489.0,50.0,100.0,100.0,100.0,10.0,310.0,100.0,100.0,100.0,100.0,16.0,100.0,100.0,516.0
Mateusz Bajorek,0.0,100.0,0.0,100.0,100.0,300.0,,,,,,,,,,,,,,
Mateusz Basiak,0.0,56.0,0.0,10.0,0.0,66.0,,,,,,,,,,,,,,
Mateusz Danowski,0.0,4.0,0.0,10.0,83.0,97.0,,,,,,,,,,,,,,
Mateusz Dudek,21.0,4.0,0.0,0.0,53.0,78.0,,,,,,,,,,,,,,
Mateusz Dudzinski,0.0,0.0,0.0,0.0,100.0,100.0,0.0,28.0,0.0,25.0,50.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateusz Gienieczko,0.0,13.0,100.0,100.0,100.0,313.0,50.0,100.0,0.0,25.0,10.0,135.0,100.0,32.0,30.0,100.0,27.0,20.0,100.0,309.0
Mateusz Goslinowski,0.0,48.0,0.0,0.0,100.0,148.0,,,,,,,,,,,,,,
Mateusz Gwozdz,0.0,0.0,0.0,10.0,94.0,104.0,,,,,,,,,,,,,,
Mateusz Hazy,0.0,80.0,100.0,100.0,44.0,324.0,30.0,57.0,30.0,25.0,10.0,122.0,35.0,32.0,40.0,100.0,36.0,0.0,100.0,308.0
Mateusz Koczan,0.0,70.0,0.0,0.0,100.0,170.0,,,,,,,,,,,,,,
Mateusz Lamecki,0.0,81.0,15.0,5.0,100.0,201.0,,,,,,,,,,,,,,
Mateusz Maciej Maslowski,0.0,98.0,100.0,95.0,100.0,393.0,50.0,57.0,0.0,25.0,10.0,92.0,100.0,0.0,15.0,100.0,0.0,0.0,100.0,215.0
Mateusz Maciejewski,0.0,98.0,0.0,83.0,0.0,181.0,,,,,,,,,,,,,,
Mateusz Mackowski,0.0,82.0,15.0,10.0,100.0,207.0,50.0,57.0,30.0,25.0,30.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateusz Orda,21.0,49.0,15.0,19.0,66.0,170.0,50.0,57.0,0.0,0.0,40.0,97.0,100.0,32.0,100.0,0.0,21.0,0.0,53.0,206.0
Mateusz Radecki,100.0,92.0,96.0,100.0,100.0,488.0,85.0,100.0,100.0,0.0,89.0,289.0,100.0,100.0,100.0,100.0,94.0,90.0,100.0,584.0
Mateusz Rychlicki,0.0,0.0,0.0,91.0,0.0,91.0,,,,,,,,,,,,,,
Mateusz Serkies,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Mateusz Szpyrka,0.0,50.0,15.0,0.0,75.0,140.0,50.0,57.0,0.0,25.0,10.0,92.0,100.0,45.0,10.0,100.0,38.0,10.0,100.0,303.0
Michal Backiel,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Michal Balcerzak,0.0,22.0,0.0,10.0,100.0,132.0,50.0,57.0,0.0,25.0,10.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Czwornog,0.0,50.0,0.0,0.0,100.0,150.0,,,,,,,,,,,,,,
Michal Gilski,0.0,2.0,0.0,5.0,100.0,107.0,,,,,,,,,,,,,,
Michal Glinski,0.0,0.0,20.0,10.0,100.0,130.0,,,,,,,,,,,,,,
Michal Gorniak,21.0,100.0,100.0,100.0,100.0,421.0,50.0,17.0,58.0,25.0,50.0,150.0,100.0,81.0,100.0,100.0,27.0,20.0,100.0,428.0
Michal Heppner,0.0,0.0,0.0,5.0,61.0,66.0,,,,,,,,,,,,,,
Michal Jaworski,0.0,17.0,0.0,10.0,44.0,71.0,,,,,,,,,,,,,,
Michal Kardas,0.0,0.0,15.0,10.0,100.0,125.0,,,,,,,,,,,,,,
Michal Kielbasa,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Michal Lopata,0.0,76.0,100.0,100.0,100.0,376.0,68.0,57.0,100.0,0.0,10.0,167.0,100.0,33.0,14.0,0.0,38.0,20.0,100.0,205.0
Michal Niciejewski,100.0,76.0,100.0,0.0,100.0,376.0,50.0,57.0,0.0,25.0,10.0,92.0,100.0,12.0,10.0,100.0,16.0,20.0,100.0,258.0
Michal Oltarzewski,0.0,4.0,0.0,10.0,100.0,114.0,,,,,,,,,,,,,,
Michal Panek,0.0,71.0,0.0,19.0,45.0,135.0,,,,,,,,,,,,,,
Michal Praszmo,0.0,4.0,15.0,8.0,58.0,85.0,,,,,,,,,,,,,,
Michal Roginski,0.0,3.0,0.0,0.0,66.0,69.0,,,,,,,,,,,,,,
Michal Siennicki,60.0,4.0,100.0,91.0,100.0,355.0,50.0,57.0,0.0,25.0,20.0,102.0,100.0,12.0,0.0,100.0,38.0,0.0,100.0,250.0
Michal Szostek,0.0,26.0,100.0,19.0,100.0,245.0,29.0,28.0,0.0,25.0,40.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Tepper,60.0,83.0,100.0,100.0,100.0,443.0,50.0,57.0,58.0,25.0,10.0,150.0,100.0,86.0,100.0,100.0,38.0,10.0,100.0,434.0
Michal Zwonek,0.0,3.0,100.0,10.0,66.0,179.0,,,,,,,,,,,,,,
Mieszko Komisarczyk,0.0,0.0,0.0,5.0,66.0,71.0,,,,,,,,,,,,,,
Mieszko Mazurek,0.0,0.0,0.0,10.0,66.0,76.0,,,,,,,,,,,,,,
Mikolaj Hoscilo,0.0,4.0,0.0,10.0,66.0,80.0,,,,,,,,,,,,,,
Mikolaj Kmiec,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Milosz Piekutowski,0.0,0.0,0.0,0.0,100.0,100.0,,,,,,,,,,,,,,
Miron Szewczyk,0.0,83.0,15.0,25.0,100.0,223.0,,,,,,,,,,,,,,
Natalia Beben,0.0,97.0,0.0,91.0,0.0,188.0,,,,,,,,,,,,,,
Norbert Poniatowski,0.0,50.0,100.0,91.0,100.0,341.0,,,,,,,,,,,,,,
Olga Bondos,0.0,69.0,0.0,100.0,0.0,169.0,,,,,,,,,,,,,,
Oskar Nowak,60.0,4.0,15.0,10.0,68.0,157.0,,,,,,,,,,,,,,
Patryk Peczak,21.0,70.0,0.0,10.0,100.0,201.0,,,,,,,,,,,,,,
Pawel Anikiel,0.0,35.0,0.0,19.0,100.0,154.0,50.0,57.0,20.0,0.0,10.0,87.0,100.0,12.0,0.0,100.0,0.0,0.0,92.0,204.0
Pawel Burzynski,0.0,100.0,100.0,100.0,100.0,400.0,100.0,100.0,100.0,0.0,100.0,300.0,100.0,100.0,100.0,100.0,38.0,100.0,100.0,538.0
Pawel Charylo,0.0,88.0,100.0,43.0,94.0,325.0,50.0,0.0,58.0,25.0,83.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pawel Jasiak,0.0,91.0,15.0,10.0,100.0,216.0,50.0,57.0,0.0,25.0,50.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pawel Lysik,0.0,0.0,0.0,0.0,94.0,94.0,,,,,,,,,,,,,,
Pawel Malenda,0.0,58.0,0.0,0.0,100.0,158.0,,,,,,,,,,,,,,
Pawel Sawicki,0.0,35.0,0.0,28.0,66.0,129.0,50.0,28.0,58.0,25.0,100.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pawel Wroblewski,0.0,49.0,0.0,10.0,49.0,108.0,,,,,,,,,,,,,,
Piotr Aleksander Styczynski,0.0,6.0,15.0,10.0,66.0,97.0,,,,,,,,,,,,,,
