imię i nazwisko,ban_1e,pun_1e,sam_1e,ska_1e,sko_1e,suma1,lot*_2e,ban_2e,sum_2e,kos_2e,sza_2e,suma2,dzi*_3e,akc_3e,dwa_3e,dwu_3e,aut_3e,lus_3e,pra_3e,suma3
Bartosz Dabrowski,100.0,40.0,100.0,100.0,100.0,440.0,10.0,100.0,90.0,16.0,20.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartosz Geza,100.0,90.0,100.0,100.0,100.0,490.0,100.0,83.0,100.0,16.0,10.0,209.0,60.0,0.0,0.0,12.0,100.0,0.0,9.0,121.0
Bartosz Janiak,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Bartosz Kita,0.0,0.0,60.0,100.0,100.0,260.0,,,,,,,,,,,,,,
Bartosz Kukawka,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Bartosz Malocha,100.0,30.0,100.0,100.0,100.0,430.0,,,,,,,,,,,,,,
Bartosz Paprzycki,6.0,40.0,100.0,100.0,40.0,286.0,,,,,,,,,,,,,,
Bartosz Szreder,100.0,10.0,100.0,100.0,0.0,310.0,50.0,100.0,100.0,8.0,39.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartosz Zaborowski,100.0,90.0,100.0,20.0,100.0,410.0,0.0,56.0,100.0,15.0,20.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blazej Osinski,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Boleslaw Kulbabinski,100.0,100.0,100.0,100.0,80.0,480.0,100.0,100.0,60.0,0.0,50.0,210.0,0.0,0.0,0.0,13.0,100.0,0.0,0.0,113.0
Damian Lozinski,100.0,90.0,100.0,32.0,100.0,422.0,,,,,,,,,,,,,,
Daniel Czajka,100.0,100.0,100.0,100.0,100.0,500.0,100.0,100.0,30.0,42.0,50.0,222.0,90.0,50.0,10.0,100.0,100.0,0.0,92.0,352.0
Danilo Lakovic,64.0,30.0,100.0,100.0,0.0,294.0,,,,,,,,,,,,,,
Darek Leniowski,89.0,50.0,100.0,100.0,100.0,439.0,0.0,34.0,100.0,7.0,41.0,182.0,,,,,,,,
Dariusz Leniowski,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawid Wieloszynski,100.0,20.0,100.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Dominik Cebula,100.0,60.0,50.0,100.0,100.0,410.0,,,,,,,,,,,,,,
Dominik Frankowicz,100.0,10.0,60.0,100.0,100.0,370.0,,,,,,,,,,,,,,
Dominik Kempa,26.0,90.0,54.0,93.0,0.0,263.0,,,,,,,,,,,,,,
Dominik Kilian,100.0,90.0,20.0,100.0,100.0,410.0,,,,,,,,,,,,,,
Elzbieta Dlutowska,99.0,80.0,100.0,100.0,100.0,479.0,,,,,,,,,,,,,,
Filip Balejko,100.0,60.0,0.0,100.0,100.0,360.0,,,,,,,,,,,,,,
Filip Klawe,32.0,0.0,20.0,100.0,100.0,252.0,,,,,,,,,,,,,,
Filip Malawski,97.0,80.0,100.0,100.0,0.0,377.0,,,,,,,,,,,,,,
Filip Mroz,40.0,10.0,100.0,100.0,100.0,350.0,,,,,,,,,,,,,,
Filip Proborszcz,82.0,0.0,60.0,32.0,90.0,264.0,,,,,,,,,,,,,,
Filip Skalski,43.0,0.0,100.0,32.0,100.0,275.0,0.0,100.0,60.0,0.0,38.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filip Stachura,42.0,0.0,100.0,100.0,80.0,322.0,,,,,,,,,,,,,,
Filip Wieczorek,88.0,0.0,100.0,100.0,100.0,388.0,,,,,,,,,,,,,,
Filip Wojciak,93.0,100.0,100.0,100.0,100.0,493.0,,,,,,,,,,,,,,
Filip Wolski,100.0,80.0,100.0,100.0,100.0,480.0,100.0,100.0,100.0,87.0,53.0,340.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,500.0
Grzegorz Chilkiewicz,100.0,70.0,100.0,100.0,100.0,470.0,0.0,100.0,60.0,0.0,31.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grzegorz Golda,19.0,0.0,96.0,100.0,100.0,315.0,,,,,,,,,,,,,,
Grzegorz Jablonski,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Grzegorz Kossakowski,100.0,70.0,100.0,100.0,0.0,370.0,,,,,,,,,,,,,,
Grzegorz Kossowski,81.0,50.0,100.0,100.0,100.0,431.0,20.0,94.0,100.0,16.0,86.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grzegorz Kuligowski,0.0,30.0,98.0,100.0,100.0,328.0,,,,,,,,,,,,,,
Grzegorz Matusz,80.0,0.0,100.0,100.0,100.0,380.0,,,,,,,,,,,,,,
Grzegorz Paszt,43.0,0.0,100.0,100.0,90.0,333.0,20.0,79.0,60.0,22.0,50.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grzegorz Swierad,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Grzegorz Wierzowiecki,100.0,100.0,100.0,100.0,90.0,490.0,,,,,,,,,,,,,,
Grzegorz Wrona,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Grzegorz Ziemianski,100.0,90.0,100.0,100.0,100.0,490.0,0.0,100.0,50.0,29.0,20.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grzesiek Grochowski,100.0,0.0,100.0,100.0,10.0,310.0,,,,,,,,,,,,,,
Hong Hai Chu,0.0,30.0,100.0,100.0,20.0,250.0,,,,,,,,,,,,,,
Hubert Orlik-Grzesik,31.0,20.0,70.0,93.0,100.0,314.0,10.0,100.0,50.0,8.0,30.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacek Caban,100.0,90.0,80.0,99.0,100.0,469.0,10.0,47.0,60.0,78.0,20.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacek Migdal,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Jacek Rachwal,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Jakub Bartkowiak,100.0,30.0,100.0,100.0,100.0,430.0,,,,,,,,,,,,,,
Jakub Kosterski,87.0,10.0,100.0,100.0,0.0,297.0,,,,,,,,,,,,,,
Jakub Lacki,100.0,90.0,100.0,100.0,100.0,490.0,100.0,100.0,100.0,42.0,100.0,342.0,90.0,0.0,5.0,100.0,100.0,0.0,100.0,305.0
Jakub Machon,73.0,80.0,60.0,100.0,100.0,413.0,,,,,,,,,,,,,,
Jakub Milik,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Jakub Muszynski,100.0,20.0,90.0,100.0,100.0,410.0,10.0,56.0,80.0,0.0,44.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Neumann,100.0,0.0,100.0,100.0,100.0,400.0,10.0,100.0,50.0,8.0,20.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Staszak,100.0,90.0,100.0,100.0,100.0,490.0,0.0,100.0,40.0,92.0,51.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakub Ubych,24.0,0.0,100.0,100.0,30.0,254.0,,,,,,,,,,,,,,
Jakub Waszczuk,100.0,90.0,90.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Jakub Zwolakowski,100.0,20.0,100.0,32.0,0.0,252.0,,,,,,,,,,,,,,
Jan Filipowski,97.0,30.0,67.0,100.0,30.0,324.0,,,,,,,,,,,,,,
Jan Lamecki,100.0,70.0,100.0,100.0,40.0,410.0,,,,,,,,,,,,,,
Jan Smolen,100.0,60.0,10.0,100.0,100.0,370.0,,,,,,,,,,,,,,
Janek Burka,47.0,0.0,100.0,100.0,100.0,347.0,,,,,,,,,,,,,,
Janusz Kowalski,84.0,20.0,10.0,100.0,100.0,314.0,,,,,,,,,,,,,,
Jaroslaw Apelski,80.0,40.0,100.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Jaroslaw Blasiok,0.0,90.0,100.0,100.0,100.0,390.0,,,,,,,,,,,,,,
Jaroslaw Chmiel,60.0,0.0,100.0,100.0,100.0,360.0,,,,,,,,,,,,,,
Jaroslaw Czyzewski,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Jaroslaw Glowacki,99.0,40.0,100.0,100.0,100.0,439.0,,,,,,,,,,,,,,
Jaroslaw Karczmarczyk,72.0,30.0,100.0,100.0,90.0,392.0,,,,,,,,,,,,,,
Jedrek Potoniec,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Jedrzej Anisiewicz,73.0,0.0,90.0,100.0,0.0,263.0,,,,,,,,,,,,,,
Jedrzej Jablonski,100.0,100.0,10.0,100.0,0.0,310.0,,,,,,,,,,,,,,
Jerzy Kozera,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Joachim Bartosik,24.0,0.0,100.0,100.0,100.0,324.0,,,,,,,,,,,,,,
Jozef Wrobel,73.0,90.0,100.0,100.0,100.0,463.0,,,,,,,,,,,,,,
Juliusz Kopczewski,100.0,50.0,100.0,100.0,100.0,450.0,,,,,,,,,,,,,,
Juliusz Sompolski,95.0,90.0,0.0,99.0,100.0,384.0,74.0,72.0,100.0,23.0,50.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juliusz Stasiewicz,100.0,30.0,100.0,51.0,0.0,281.0,,,,,,,,,,,,,,
Kacper Stolc,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Kacper Wantola,79.0,0.0,100.0,38.0,100.0,317.0,,,,,,,,,,,,,,
Kaja Serafin,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Kamil Adamczyk,100.0,50.0,100.0,100.0,0.0,350.0,20.0,100.0,100.0,23.0,20.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamil Anikiej,100.0,70.0,100.0,94.0,100.0,464.0,100.0,100.0,60.0,16.0,20.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamil Herba,100.0,10.0,100.0,100.0,100.0,410.0,10.0,100.0,100.0,0.0,48.0,248.0,100.0,0.0,5.0,100.0,100.0,0.0,0.0,205.0
Kamil Kopec,87.0,70.0,90.0,100.0,100.0,447.0,,,,,,,,,,,,,,
Kamil Kraszewski,100.0,40.0,60.0,100.0,0.0,300.0,40.0,100.0,60.0,0.0,50.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamil Nowosad,100.0,0.0,100.0,100.0,100.0,400.0,10.0,80.0,40.0,22.0,100.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamil Serwus,100.0,90.0,100.0,100.0,100.0,490.0,10.0,100.0,100.0,8.0,50.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamil Trzcinski,71.0,70.0,100.0,100.0,0.0,341.0,,,,,,,,,,,,,,
Karol Kosinski,51.0,100.0,100.0,100.0,90.0,441.0,,,,,,,,,,,,,,
Karol Kurach,100.0,60.0,100.0,100.0,100.0,460.0,0.0,100.0,60.0,16.0,40.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karol Pajak,100.0,0.0,70.0,100.0,10.0,280.0,,,,,,,,,,,,,,
Karol Piczak,100.0,30.0,100.0,100.0,0.0,330.0,,,,,,,,,,,,,,
Karol Sobczak,100.0,100.0,100.0,100.0,88.0,488.0,30.0,87.0,90.0,0.0,38.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konrad Goluchowski,100.0,10.0,100.0,100.0,20.0,330.0,,,,,,,,,,,,,,
Konrad Kurdej,100.0,10.0,100.0,100.0,100.0,410.0,,,,,,,,,,,,,,
Konrad Ortyl,89.0,60.0,64.0,100.0,100.0,413.0,,,,,,,,,,,,,,
Konrad Rogalski,18.0,30.0,100.0,100.0,0.0,248.0,,,,,,,,,,,,,,
Krzysztof Burlinski,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Krzysztof Dorobisz,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Krzysztof Glowinski,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Krzysztof Kotula,100.0,50.0,100.0,100.0,0.0,350.0,0.0,100.0,90.0,16.0,20.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krzysztof Krygiel,86.0,40.0,40.0,100.0,0.0,266.0,20.0,100.0,90.0,16.0,30.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krzysztof Magiera,100.0,80.0,10.0,100.0,90.0,380.0,80.0,85.0,60.0,0.0,46.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krzysztof Malinowski,100.0,0.0,0.0,100.0,100.0,300.0,,,,,,,,,,,,,,
Krzysztof Pawlowski,100.0,0.0,100.0,100.0,100.0,400.0,100.0,100.0,60.0,79.0,50.0,289.0,90.0,0.0,0.0,25.0,100.0,0.0,0.0,125.0
Krzysztof Piecuch,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Krzysztof Praszmo,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Krzysztof Rozestwinski,87.0,30.0,100.0,100.0,80.0,397.0,,,,,,,,,,,,,,
Krzysztof Sachanowicz,100.0,100.0,100.0,100.0,90.0,490.0,,,,,,,,,,,,,,
Krzysztof Skrzypczynski,75.0,0.0,100.0,100.0,40.0,315.0,,,,,,,,,,,,,,
Krzysztof Templin,100.0,90.0,100.0,100.0,100.0,490.0,30.0,100.0,100.0,23.0,20.0,243.0,30.0,0.0,5.0,100.0,20.0,0.0,0.0,125.0
Krzysztof Wos,24.0,10.0,100.0,98.0,100.0,332.0,,,,,,,,,,,,,,
Leszek Horwath,100.0,70.0,100.0,100.0,100.0,470.0,,,,,,,,,,,,,,
Lukasz Balaga,18.0,0.0,43.0,100.0,100.0,261.0,,,,,,,,,,,,,,
Lukasz Bieniasz-Krzywiec,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Lukasz Bogacki,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Lukasz Borek,26.0,40.0,100.0,100.0,0.0,266.0,,,,,,,,,,,,,,
Lukasz Cepowski,97.0,40.0,80.0,100.0,0.0,317.0,,,,,,,,,,,,,,
Lukasz Garncarek,65.0,0.0,100.0,100.0,100.0,365.0,,,,,,,,,,,,,,
Lukasz Kidzinski,23.0,0.0,100.0,100.0,100.0,323.0,,,,,,,,,,,,,,
Lukasz Kierat,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Lukasz Kucharski,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Lukasz Kusmierz,100.0,60.0,30.0,100.0,100.0,390.0,,,,,,,,,,,,,,
Lukasz Pluto,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Lukasz Strzygowski,84.0,50.0,100.0,100.0,0.0,334.0,,,,,,,,,,,,,,
Lukasz Wiatrak,100.0,100.0,100.0,100.0,100.0,500.0,30.0,41.0,100.0,21.0,20.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukasz Wolochowski,100.0,20.0,100.0,100.0,90.0,410.0,0.0,84.0,50.0,35.0,20.0,189.0,0.0,0.0,0.0,94.0,100.0,0.0,0.0,194.0
Maciej Kokocinski,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Maciej Kuzniar,54.0,0.0,100.0,100.0,100.0,354.0,,,,,,,,,,,,,,
Maciej Laszcz,100.0,10.0,100.0,100.0,100.0,410.0,,,,,,,,,,,,,,
Maciej Pawlisz,46.0,90.0,100.0,100.0,88.0,424.0,95.0,100.0,80.0,6.0,90.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maciej Ruszewski,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Maciej Zawadzinski,100.0,0.0,10.0,100.0,100.0,310.0,,,,,,,,,,,,,,
Malgorzata Musiak,100.0,0.0,100.0,100.0,34.0,334.0,,,,,,,,,,,,,,
Marcin Andrychowicz,100.0,90.0,70.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Marcin Draszczuk,87.0,30.0,20.0,92.0,100.0,329.0,,,,,,,,,,,,,,
Marcin Glowacki,100.0,20.0,100.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Marcin Hagmajer,72.0,10.0,60.0,100.0,100.0,342.0,,,,,,,,,,,,,,
Marcin Kobzdaj,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Marcin Koscilenicki,86.0,10.0,100.0,100.0,0.0,296.0,,,,,,,,,,,,,,
Marcin Kozniewski,0.0,90.0,0.0,100.0,100.0,290.0,,,,,,,,,,,,,,
Marcin Kubacki,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Marcin Kurczych,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Marcin Kwiatkowski,100.0,50.0,100.0,100.0,100.0,450.0,,,,,,,,,,,,,,
Marcin Mikolajczak,100.0,90.0,100.0,100.0,100.0,490.0,0.0,100.0,50.0,70.0,0.0,220.0,20.0,0.0,5.0,100.0,20.0,0.0,0.0,125.0
Marcin Morozowski,100.0,10.0,100.0,100.0,0.0,310.0,,,,,,,,,,,,,,
Marcin Sieniek,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Marcin Sklodowski,100.0,0.0,100.0,100.0,20.0,320.0,,,,,,,,,,,,,,
Marcin Skotniczny,100.0,90.0,100.0,100.0,100.0,490.0,70.0,100.0,100.0,16.0,100.0,316.0,40.0,0.0,5.0,100.0,100.0,0.0,72.0,277.0
Marcin Skubala,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Marcin Sobczyk,79.0,20.0,100.0,94.0,100.0,393.0,,,,,,,,,,,,,,
Marcin Stankiewcz,44.0,40.0,0.0,100.0,100.0,284.0,,,,,,,,,,,,,,
Marcin Wolniewicz,98.0,0.0,0.0,100.0,60.0,258.0,,,,,,,,,,,,,,
Marek Bialowas,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Marek Kielar,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Marek Marczykowski,100.0,80.0,100.0,100.0,0.0,380.0,,,,,,,,,,,,,,
Marek Materzok,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Marek Nowicki,87.0,40.0,100.0,100.0,100.0,427.0,,,,,,,,,,,,,,
Marek Sapota,26.0,0.0,100.0,20.0,100.0,246.0,,,,,,,,,,,,,,
Marek Sieradzki,0.0,0.0,100.0,100.0,100.0,300.0,,,,,,,,,,,,,,
Marek Szykula,100.0,100.0,100.0,100.0,100.0,500.0,99.0,97.0,50.0,72.0,20.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marian Marek Kedzierski,100.0,60.0,100.0,63.0,90.0,413.0,,,,,,,,,,,,,,
Mariusz Cwalina,78.0,0.0,100.0,98.0,100.0,376.0,,,,,,,,,,,,,,
Martyna Jozwiak,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Mateusz Baranowski,6.0,0.0,78.0,100.0,100.0,284.0,,,,,,,,,,,,,,
Mateusz Bielecki,86.0,20.0,100.0,100.0,50.0,356.0,,,,,,,,,,,,,,
Mateusz Brzeszcz,100.0,0.0,100.0,100.0,100.0,400.0,,,,,,,,,,,,,,
Mateusz Gajczewski,100.0,60.0,100.0,100.0,50.0,410.0,0.0,90.0,60.0,51.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateusz Kwiatek,100.0,100.0,100.0,100.0,100.0,500.0,100.0,100.0,40.0,16.0,60.0,216.0,50.0,100.0,5.0,100.0,60.0,0.0,18.0,283.0
Mateusz Lacki,100.0,100.0,100.0,100.0,60.0,460.0,,,,,,,,,,,,,,
Mateusz Niezabitowski,0.0,0.0,100.0,100.0,100.0,300.0,,,,,,,,,,,,,,
Mateusz Rukowicz,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Mateusz Wloch,97.0,20.0,100.0,100.0,20.0,337.0,,,,,,,,,,,,,,
Michael Swiecicki,100.0,40.0,100.0,100.0,100.0,440.0,,,,,,,,,,,,,,
Michal Czaicki,84.0,20.0,43.0,100.0,0.0,247.0,,,,,,,,,,,,,,
Michal Gawarkiewicz,100.0,100.0,100.0,100.0,100.0,500.0,,,,,,,,,,,,,,
Michal Golebiowski,87.0,0.0,100.0,100.0,100.0,387.0,,,,,,,,,,,,,,
Michal Iwaniuk,100.0,60.0,100.0,100.0,100.0,460.0,,,,,,,,,,,,,,
Michal Janczykowski,87.0,0.0,100.0,100.0,0.0,287.0,,,,,,,,,,,,,,
Michal Karnicki,100.0,50.0,100.0,100.0,100.0,450.0,,,,,,,,,,,,,,
Michal Kijewski,99.0,0.0,100.0,100.0,0.0,299.0,,,,,,,,,,,,,,
Michal Kozik,74.0,30.0,100.0,100.0,100.0,404.0,,,,,,,,,,,,,,
Michal Nazarewicz,99.0,100.0,60.0,100.0,10.0,369.0,,,,,,,,,,,,,,
Michal Nowakowski,100.0,90.0,30.0,100.0,100.0,420.0,,,,,,,,,,,,,,
Michal Nykiel,6.0,0.0,100.0,100.0,100.0,306.0,,,,,,,,,,,,,,
Michal Pilipczuk,100.0,100.0,100.0,100.0,100.0,500.0,100.0,80.0,90.0,16.0,30.0,216.0,100.0,0.0,0.0,100.0,50.0,0.0,0.0,150.0
Michal Rojek,100.0,0.0,100.0,100.0,60.0,360.0,,,,,,,,,,,,,,
Michal Skrzypek,90.0,0.0,100.0,100.0,0.0,290.0,,,,,,,,,,,,,,
Michal Trochimczyk,100.0,0.0,100.0,100.0,40.0,340.0,,,,,,,,,,,,,,
Michal Witkowski,100.0,90.0,100.0,100.0,100.0,490.0,,,,,,,,,,,,,,
Michal Wrobel,32.0,80.0,100.0,100.0,100.0,412.0,30.0,56.0,100.0,30.0,50.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Wrobel,100.0,0.0,0.0,93.0,80.0,273.0,30.0,56.0,100.0,30.0,50.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michal Zukowski,100.0,80.0,100.0,100.0,100.0,480.0,,,,,,,,,,,,,,
Mikolaj Kajetan Schmidt,100.0,80.0,95.0,91.0,100.0,466.0,,,,,,,,,,,,,,
Mikolaj Pastuszko,18.0,0.0,40.0,100.0,100.0,258.0,,,,,,,,,,,,,,
Milosz Kordecki,12.0,10.0,100.0,96.0,100.0,318.0,100.0,56.0,100.0,79.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miroslaw Michalski,100.0,40.0,100.0,100.0,90.0,430.0,,,,,,,,,,,,,,
Norbert Pionka,42.0,100.0,100.0,100.0,100.0,442.0,,,,,,,,,,,,,,
Norbert Potocki,100.0,40.0,100.0,100.0,100.0,440.0,0.0,100.0,40.0,0.0,50.0,190.0,0.0,0.0,0.0,0.0,100.0,0.0,18.0,118.0
Olgierd Kiewlicz,27.0,0.0,100.0,100.0,100.0,327.0,,,,,,,,,,,,,,
Oskar Skibski,88.0,20.0,100.0,100.0,90.0,398.0,,,,,,,,,,,,,,
Oskar Straczkowski,100.0,30.0,100.0,100.0,100.0,430.0,0.0,100.0,80.0,16.0,56.0,252.0,0.0,0.0,0.0,100.0,13.0,0.0,0.0,113.0
Oskar Wantola,100.0,0.0,100.0,100.0,0.0,300.0,,,,,,,,,,,,,,
Patryk Spanily,100.0,0.0,100.0,100.0,40.0,340.0,,,,,,,,,,,,,,
Pawel Adamski,86.0,0.0,90.0,100.0,100.0,376.0,,,,,,,,,,,,,,
